decision_id,timestamp,junction_id,junction_name,decision_type,model_version,input_features_summary,decision_value,day_type,is_festival,weather_condition,is_rain,rainfall_mm,is_accident,bus_priority_active,ambulance_priority_active,congestion_index,outcome_success,processing_latency_ms,avg_speed_kmph,waiting_time_sec,travel_time_sec,fuel_consumption_l,co2_emission_kg,confidence_score,recommendation_reason
DEC700000,2026-01-13 17:22:42,J015,Bellandur,Route Recommendation,ARGUS-DT-v2.4.1,queue=72veh|congestion=0.81|rain=N|festival=N|accident=N,Alternate Route,Weekday,False,Clear,False,0.0,False,False,False,0.811,True,88,15.8,52.6,299.6,0.175,0.404,0.95,Heavy congestion detected - signal timing extended and reroute suggested
DEC700001,2025-02-21 18:01:04,J037,Kadugodi,Signal Timing Adjustment,ARGUS-DT-v2.4,queue=90veh|congestion=0.95|rain=N|festival=N|accident=N,86.9,Weekday,False,Clear,False,0.0,False,False,False,0.948,True,89,9.1,64.4,576.0,0.206,0.475,0.925,Heavy congestion detected - signal timing extended and reroute suggested
DEC700002,2026-01-02 09:13:59,J032,Richmond Circle,Route Recommendation,ARGUS-DT-v2.4,queue=67veh|congestion=1.00|rain=N|festival=Y|accident=N,Alternate Route,Weekday,True,Clear,False,0.0,False,False,False,1.0,False,69,7.7,62.8,512.7,0.177,0.408,0.823,Festival crowd surge detected - alternate route and extended cycle recommended
DEC700003,2025-10-20 05:34:38,J036,HAL Airport Road,Signal Timing Adjustment,ARGUS-DT-v2.4,queue=51veh|congestion=0.56|rain=Y|festival=Y|accident=N,63.7,Weekday,True,Rain,True,17.0,False,False,False,0.562,True,60,26.3,35.4,132.8,0.099,0.23,0.855,Festival crowd surge detected - alternate route and extended cycle recommended
DEC700004,2025-01-13 16:57:25,J008,Jayanagar 4th Block,Route Recommendation,ARGUS-DT-v2.4,queue=71veh|congestion=0.74|rain=N|festival=N|accident=N,Alternate Route,Weekday,False,Clear,False,0.0,False,False,False,0.735,True,87,20.2,39.8,153.9,0.093,0.216,0.951,Moderate traffic flow - standard adaptive signal timing in effect
DEC700005,2026-05-16 10:14:17,J025,Bannerghatta Road,Signal Timing Adjustment,ARGUS-DT-v2.4,queue=59veh|congestion=0.53|rain=N|festival=N|accident=N,61.6,Weekend,False,Clear,False,0.0,False,False,False,0.527,True,83,25.1,30.8,141.9,0.107,0.246,0.99,Moderate traffic flow - standard adaptive signal timing in effect
DEC700006,2025-03-06 20:27:48,J009,Majestic,Priority Grant,ARGUS-DT-v2.4.1,queue=41veh|congestion=0.53|rain=N|festival=N|accident=N,Green Extension +12s,Weekday,False,Fog,False,0.0,False,True,False,0.37,True,59,29.3,24.9,128.9,0.124,0.286,0.955,Bus priority granted - green extension issued to reduce transit delay
DEC700007,2026-06-19 08:44:08,J029,Old Airport Road,Reroute Advisory,ARGUS-DT-v2.4.1,queue=85veh|congestion=0.96|rain=N|festival=N|accident=N,Detour via Ring Road,Weekday,False,Clear,False,0.0,False,False,False,0.625,True,60,19.6,34.8,204.0,0.13,0.299,0.958,Moderate traffic flow - standard adaptive signal timing in effect
DEC700008,2026-04-01 18:46:00,J038,Varthur,Priority Grant,ARGUS-DT-v2.4,queue=81veh|congestion=1.00|rain=N|festival=N|accident=N,Green Extension +12s,Weekday,False,Clear,False,0.0,False,True,False,0.7,True,95,21.5,47.7,212.9,0.155,0.359,0.976,Bus priority granted - green extension issued to reduce transit delay
DEC700009,2026-04-08 19:21:32,J013,HSR BDA Complex,Parking Guidance,ARGUS-DT-v2.4.1,queue=83veh|congestion=0.84|rain=N|festival=N|accident=N,Redirect to Alternate Lot,Weekday,False,Clear,False,0.0,False,False,False,0.839,True,83,14.8,57.1,276.7,0.132,0.305,0.946,Heavy congestion detected - signal timing extended and reroute suggested
DEC700010,2025-08-27 08:20:30,J012,Koramangala Sony World,Priority Grant,ARGUS-DT-v2.4.1,queue=88veh|congestion=1.00|rain=N|festival=Y|accident=N,Green Extension +12s,Weekday,True,Clear,False,0.0,False,True,False,0.7,True,70,20.6,45.8,258.8,0.191,0.442,0.9,Bus priority granted - green extension issued to reduce transit delay
DEC700011,2026-02-11 16:24:29,J040,City Market,Signal Timing Adjustment,ARGUS-DT-v2.4.1,queue=50veh|congestion=0.47|rain=N|festival=N|accident=N,57.9,Weekday,False,Fog,False,0.0,False,False,False,0.465,True,49,27.5,29.4,115.3,0.091,0.21,0.963,Moderate traffic flow - standard adaptive signal timing in effect
DEC700012,2026-04-27 08:55:52,J018,Nagawara,Green Wave Coordination,ARGUS-DT-v2.4,queue=70veh|congestion=1.00|rain=N|festival=N|accident=N,Offset Re-planned,Weekday,False,Clear,False,0.0,False,False,False,0.55,True,60,22.5,39.6,269.2,0.212,0.49,0.982,Moderate traffic flow - standard adaptive signal timing in effect
DEC700013,2025-08-12 20:43:35,J002,Marathahalli,Reroute Advisory,ARGUS-DT-v2.4.1,queue=76veh|congestion=0.70|rain=Y|festival=N|accident=N,Detour via Ring Road,Weekday,False,Heavy Rain,True,29.7,False,False,False,0.456,True,63,23.7,31.8,72.4,0.05,0.114,0.915,Light rain detected - minor speed reduction advised
DEC700014,2025-09-18 02:26:29,J027,Mysore Road,Priority Grant,ARGUS-DT-v2.4.1,queue=39veh|congestion=0.31|rain=Y|festival=N|accident=N,Green Extension +12s,Weekday,False,Rain,True,13.1,False,True,False,0.22,False,75,41.1,12.7,95.0,0.106,0.246,0.887,Bus priority granted - green extension issued to reduce transit delay
DEC700015,2025-11-04 07:12:37,J037,Kadugodi,Signal Timing Adjustment,ARGUS-DT-v2.4.1,queue=66veh|congestion=0.56|rain=N|festival=N|accident=N,63.7,Weekday,False,Clear,False,0.0,False,False,False,0.562,False,74,25.8,36.7,178.1,0.134,0.31,0.914,Moderate traffic flow - standard adaptive signal timing in effect
DEC700016,2025-10-16 10:00:05,J034,Ulsoor,Route Recommendation,ARGUS-DT-v2.4,queue=70veh|congestion=0.85|rain=N|festival=N|accident=N,Alternate Route,Weekday,False,Clear,False,0.0,False,False,False,0.846,True,85,15.9,60.1,160.4,0.102,0.237,0.947,Heavy congestion detected - signal timing extended and reroute suggested
DEC700017,2025-02-15 17:15:33,J042,Anand Rao Circle,Reroute Advisory,ARGUS-DT-v2.4.1,queue=42veh|congestion=0.56|rain=N|festival=N|accident=N,No Reroute Needed,Weekend,False,Clear,False,0.0,False,False,False,0.366,True,48,28.4,27.8,145.0,0.11,0.254,0.986,Moderate traffic flow - standard adaptive signal timing in effect
DEC700018,2025-02-08 15:16:45,J022,Rajajinagar,Signal Timing Adjustment,ARGUS-DT-v2.4,queue=29veh|congestion=0.16|rain=N|festival=N|accident=N,39.3,Weekend,False,Clear,False,0.0,False,False,False,0.155,True,39,37.8,15.5,89.1,0.082,0.19,0.939,Normal free-flow traffic - standard signal timing maintained
DEC700019,2025-12-19 21:06:08,J005,Yeshwantpur,Green Wave Coordination,ARGUS-DT-v2.4.1,queue=35veh|congestion=0.34|rain=N|festival=N|accident=N,Offset Synced,Weekday,False,Clear,False,0.0,False,False,False,0.186,True,68,35.6,15.7,86.6,0.077,0.177,0.954,Green wave coordination successful - maintain current corridor offset
DEC700020,2025-03-01 18:21:52,J006,Tin Factory,Signal Timing Adjustment,ARGUS-DT-v2.4.1,queue=69veh|congestion=0.79|rain=N|festival=N|accident=N,77.3,Weekend,False,Clear,False,0.0,False,False,False,0.788,True,71,18.0,55.9,175.7,0.104,0.24,0.958,Heavy congestion detected - signal timing extended and reroute suggested
DEC700021,2025-05-23 20:14:40,J030,MG Road,Signal Timing Adjustment,ARGUS-DT-v2.4,queue=59veh|congestion=0.57|rain=N|festival=N|accident=N,64.2,Weekday,False,Clear,False,0.0,False,False,False,0.569,True,71,25.5,37.8,242.6,0.201,0.464,0.965,Moderate traffic flow - standard adaptive signal timing in effect
DEC700022,2025-08-12 17:31:18,J028,Tumkur Road,Parking Guidance,ARGUS-DT-v2.4.1,queue=79veh|congestion=1.00|rain=Y|festival=N|accident=N,Redirect to Alternate Lot,Weekday,False,Heavy Rain,True,82.9,False,False,False,1.0,True,68,9.1,64.8,632.0,0.216,0.5,0.878,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
DEC700023,2026-04-22 07:49:27,J006,Tin Factory,Route Recommendation,ARGUS-DT-v2.4,queue=52veh|congestion=0.63|rain=N|festival=N|accident=N,Alternate Route,Weekday,False,Clear,False,0.0,False,False,False,0.631,True,44,24.6,41.2,241.8,0.194,0.448,0.954,Moderate traffic flow - standard adaptive signal timing in effect
DEC700024,2025-10-28 13:30:35,J041,Chalukya Circle,Green Wave Coordination,ARGUS-DT-v2.3,queue=40veh|congestion=0.19|rain=N|festival=N|accident=N,Offset Synced,Weekday,False,Clear,False,0.0,False,False,False,0.103,True,40,40.2,9.3,27.4,0.02,0.047,0.973,Green wave coordination successful - maintain current corridor offset
DEC700025,2025-01-22 09:39:12,J033,Trinity Circle,Route Recommendation,ARGUS-DT-v2.4,queue=79veh|congestion=0.85|rain=N|festival=N|accident=N,Alternate Route,Weekday,False,Clear,False,0.0,False,False,False,0.846,True,85,14.5,44.8,290.6,0.154,0.357,0.958,Heavy congestion detected - signal timing extended and reroute suggested
DEC700026,2025-10-08 18:55:06,J018,Nagawara,Route Recommendation,ARGUS-DT-v2.4.1,queue=82veh|congestion=1.00|rain=N|festival=N|accident=N,Alternate Route,Weekday,False,Clear,False,0.0,False,False,False,1.0,True,100,8.8,69.7,424.2,0.153,0.352,0.897,Heavy congestion detected - signal timing extended and reroute suggested
DEC700027,2026-06-25 08:47:10,J042,Anand Rao Circle,Route Recommendation,ARGUS-DT-v2.4,queue=81veh|congestion=1.00|rain=N|festival=N|accident=N,Alternate Route,Weekday,False,Clear,False,0.0,False,False,False,1.0,True,109,9.2,68.2,203.9,0.091,0.211,0.889,Heavy congestion detected - signal timing extended and reroute suggested
DEC700028,2025-01-28 13:29:15,J016,Sarjapur Road,Green Wave Coordination,ARGUS-DT-v2.4,queue=20veh|congestion=0.15|rain=N|festival=N|accident=N,Offset Synced,Weekday,False,Clear,False,0.0,False,False,False,0.083,True,35,38.8,6.2,80.6,0.09,0.207,0.958,Green wave coordination successful - maintain current corridor offset
DEC700029,2026-01-13 16:09:11,J014,Electronic City Toll,Green Wave Coordination,ARGUS-DT-v2.4.1,queue=43veh|congestion=0.42|rain=N|festival=N|accident=N,Offset Synced,Weekday,False,Clear,False,0.0,False,False,False,0.232,True,58,35.0,19.9,66.6,0.066,0.153,0.937,Green wave coordination successful - maintain current corridor offset
DEC700030,2025-11-12 08:37:32,J020,Malleshwaram Circle,Parking Guidance,ARGUS-DT-v2.4,queue=88veh|congestion=0.95|rain=N|festival=N|accident=N,Redirect to Alternate Lot,Weekday,False,Clear,False,0.0,False,False,False,0.955,True,103,9.6,67.6,417.0,0.157,0.363,0.899,Heavy congestion detected - signal timing extended and reroute suggested
DEC700031,2026-04-08 09:27:19,J035,Domlur,Priority Grant,ARGUS-DT-v2.4,queue=66veh|congestion=0.95|rain=N|festival=N|accident=N,Green Extension +12s,Weekday,False,Clear,False,0.0,False,True,False,0.664,True,65,18.4,41.4,286.1,0.165,0.381,0.943,Bus priority granted - green extension issued to reduce transit delay
DEC700032,2025-02-09 17:49:25,J028,Tumkur Road,Priority Grant,ARGUS-DT-v2.4,queue=52veh|congestion=0.71|rain=N|festival=N|accident=N,Green Extension +12s,Weekend,False,Clear,False,0.0,False,True,False,0.498,True,65,31.7,34.5,155.9,0.161,0.371,0.969,Bus priority granted - green extension issued to reduce transit delay
DEC700033,2026-01-22 14:34:13,J021,Vijayanagar,Signal Timing Adjustment,ARGUS-DT-v2.4.1,queue=27veh|congestion=0.23|rain=N|festival=N|accident=N,44.0,Weekday,False,Fog,False,0.0,False,False,False,0.234,True,69,31.1,10.7,139.3,0.115,0.267,0.963,Normal free-flow traffic - standard signal timing maintained
DEC700034,2025-10-30 17:33:06,J038,Varthur,Reroute Advisory,ARGUS-DT-v2.4.1,queue=68veh|congestion=0.89|rain=N|festival=N|accident=N,Detour via Ring Road,Weekday,False,Clear,False,0.0,False,False,False,0.58,True,89,23.7,39.4,68.3,0.027,0.062,0.96,Moderate traffic flow - standard adaptive signal timing in effect
DEC700035,2025-02-08 11:35:12,J033,Trinity Circle,Signal Timing Adjustment,ARGUS-DT-v2.4.1,queue=12veh|congestion=0.10|rain=N|festival=N|accident=N,36.0,Weekend,False,Clear,False,0.0,False,False,False,0.1,True,45,33.4,2.0,92.0,0.073,0.168,0.941,Normal free-flow traffic - standard signal timing maintained
DEC700036,2025-08-13 16:47:18,J020,Malleshwaram Circle,Signal Timing Adjustment,ARGUS-DT-v2.4.1,queue=73veh|congestion=1.00|rain=Y|festival=N|accident=Y,90.0,Weekday,False,Heavy Rain,True,38.3,True,False,False,1.0,False,73,8.4,62.7,527.1,0.162,0.374,0.649,Accident detected nearby - reroute and reduced speed advised
DEC700037,2025-03-04 14:53:35,J009,Majestic,Priority Grant,ARGUS-DT-v2.4,queue=27veh|congestion=0.26|rain=N|festival=N|accident=N,Green Extension +12s,Weekday,False,Clear,False,0.0,False,True,False,0.185,True,41,36.1,14.3,155.1,0.125,0.288,0.958,Bus priority granted - green extension issued to reduce transit delay
DEC700038,2025-05-08 09:20:20,J032,Richmond Circle,Priority Grant,ARGUS-DT-v2.4.1,queue=76veh|congestion=1.00|rain=Y|festival=N|accident=N,Green Extension +12s,Weekday,False,Rain,True,9.5,False,True,False,0.7,False,61,18.7,45.5,189.4,0.12,0.278,0.834,Bus priority granted - green extension issued to reduce transit delay
DEC700039,2025-04-03 16:19:11,J010,Shivajinagar,Reroute Advisory,ARGUS-DT-v2.4,queue=55veh|congestion=0.45|rain=N|festival=N|accident=N,No Reroute Needed,Weekday,False,Clear,False,0.0,False,False,False,0.294,True,26,35.9,19.0,78.1,0.077,0.177,0.953,Moderate traffic flow - standard adaptive signal timing in effect
DEC700040,2025-05-19 18:38:23,J025,Bannerghatta Road,Parking Guidance,ARGUS-DT-v2.4.1,queue=85veh|congestion=1.00|rain=N|festival=N|accident=N,Redirect to Alternate Lot,Weekday,False,Clear,False,0.0,False,False,False,1.0,True,99,8.7,65.9,533.0,0.185,0.427,0.929,Heavy congestion detected - signal timing extended and reroute suggested
DEC700041,2026-06-14 06:42:27,J019,RT Nagar,Signal Timing Adjustment,ARGUS-DT-v2.4,queue=44veh|congestion=0.47|rain=Y|festival=N|accident=N,58.1,Weekend,False,Rain,True,13.2,False,False,False,0.469,True,57,31.6,32.1,94.4,0.085,0.196,0.927,Light rain detected - minor speed reduction advised
DEC700042,2025-01-03 20:07:56,J017,Whitefield ITPL,Signal Timing Adjustment,ARGUS-DT-v2.4.1,queue=42veh|congestion=0.65|rain=N|festival=N|accident=N,68.9,Weekday,False,Clear,False,0.0,False,False,False,0.648,True,83,25.9,40.3,202.8,0.169,0.39,0.975,Moderate traffic flow - standard adaptive signal timing in effect
DEC700043,2026-05-01 23:30:39,J010,Shivajinagar,Priority Grant,ARGUS-DT-v2.3,queue=36veh|congestion=0.35|rain=N|festival=Y|accident=N,Green Extension +12s,Weekday,True,Clear,False,0.0,False,True,False,0.248,True,46,39.2,11.6,113.5,0.113,0.261,0.913,Bus priority granted - green extension issued to reduce transit delay
DEC700044,2025-06-27 20:01:36,J037,Kadugodi,Priority Grant,ARGUS-DT-v2.4.1,queue=53veh|congestion=0.68|rain=N|festival=N|accident=N,Green Extension +12s,Weekday,False,Clear,False,0.0,False,True,False,0.474,True,59,24.9,31.4,173.1,0.105,0.243,0.953,Bus priority granted - green extension issued to reduce transit delay
DEC700045,2025-03-01 17:30:48,J006,Tin Factory,Priority Grant,ARGUS-DT-v2.4,queue=61veh|congestion=0.56|rain=N|festival=N|accident=N,Green Extension +12s,Weekend,False,Clear,False,0.0,False,True,False,0.391,True,84,31.0,23.9,129.2,0.095,0.22,0.935,Bus priority granted - green extension issued to reduce transit delay
DEC700046,2026-06-25 09:05:56,J005,Yeshwantpur,Route Recommendation,ARGUS-DT-v2.4,queue=82veh|congestion=1.00|rain=N|festival=N|accident=N,Alternate Route,Weekday,False,Clear,False,0.0,False,False,False,1.0,True,80,7.4,64.9,325.9,0.104,0.24,0.893,Heavy congestion detected - signal timing extended and reroute suggested
DEC700047,2025-01-14 03:16:52,J026,Hosur Road,Route Recommendation,ARGUS-DT-v2.3,queue=40veh|congestion=0.35|rain=N|festival=Y|accident=N,Primary Route,Weekday,True,Clear,False,0.0,False,False,False,0.346,False,45,29.2,23.6,137.7,0.122,0.281,0.879,Moderate traffic flow - standard adaptive signal timing in effect
DEC700048,2025-04-17 18:24:38,J036,HAL Airport Road,Priority Grant,ARGUS-DT-v2.4.1,queue=83veh|congestion=1.00|rain=N|festival=N|accident=N,Green Extension +12s,Weekday,False,Clear,False,0.0,False,True,False,0.7,True,51,25.3,42.6,133.2,0.096,0.222,0.953,Bus priority granted - green extension issued to reduce transit delay
DEC700049,2025-06-26 20:16:14,J006,Tin Factory,Green Wave Coordination,ARGUS-DT-v2.4,queue=60veh|congestion=0.59|rain=N|festival=N|accident=N,Offset Re-planned,Weekday,False,Clear,False,0.0,False,False,False,0.324,True,68,27.8,23.8,98.3,0.089,0.205,0.975,Green wave coordination successful - maintain current corridor offset
DEC700050,2025-01-13 15:38:15,J022,Rajajinagar,Route Recommendation,ARGUS-DT-v2.4,queue=37veh|congestion=0.26|rain=N|festival=N|accident=N,Primary Route,Weekday,False,Clear,False,0.0,False,False,False,0.261,True,61,33.3,22.4,76.6,0.06,0.139,0.972,Moderate traffic flow - standard adaptive signal timing in effect
DEC700051,2025-08-11 09:41:07,J002,Marathahalli,Route Recommendation,ARGUS-DT-v2.4.1,queue=68veh|congestion=0.83|rain=N|festival=N|accident=N,Alternate Route,Weekday,False,Clear,False,0.0,False,False,False,0.825,True,68,15.8,55.1,282.7,0.154,0.355,0.931,Heavy congestion detected - signal timing extended and reroute suggested
DEC700052,2025-08-08 10:49:33,J006,Tin Factory,Green Wave Coordination,ARGUS-DT-v2.4,queue=57veh|congestion=0.53|rain=Y|festival=N|accident=N,Offset Re-planned,Weekday,False,Light Rain,True,4.3,False,False,False,0.29,False,30,33.4,16.5,175.6,0.146,0.336,0.868,Light rain detected - minor speed reduction advised
DEC700053,2025-05-24 13:55:37,J004,Hebbal,Route Recommendation,ARGUS-DT-v2.4.1,queue=27veh|congestion=0.16|rain=Y|festival=N|accident=N,Primary Route,Weekend,False,Rain,True,10.9,False,False,False,0.161,False,53,42.8,9.8,139.7,0.143,0.331,0.841,Light rain detected - minor speed reduction advised
DEC700054,2025-08-11 09:43:11,J022,Rajajinagar,Priority Grant,ARGUS-DT-v2.3,queue=83veh|congestion=0.85|rain=N|festival=N|accident=N,Green Extension +12s,Weekday,False,Clear,False,0.0,False,True,False,0.597,True,28,20.2,40.3,272.5,0.16,0.37,0.985,Bus priority granted - green extension issued to reduce transit delay
DEC700055,2025-03-04 14:54:46,J038,Varthur,Route Recommendation,ARGUS-DT-v2.4.1,queue=23veh|congestion=0.22|rain=N|festival=N|accident=N,Primary Route,Weekday,False,Clear,False,0.0,False,False,False,0.217,True,68,44.1,19.6,85.1,0.095,0.219,0.962,Normal free-flow traffic - standard signal timing maintained
DEC700056,2025-04-14 18:24:10,J020,Malleshwaram Circle,Reroute Advisory,ARGUS-DT-v2.4.1,queue=76veh|congestion=1.00|rain=N|festival=Y|accident=N,Detour via Ring Road,Weekday,True,Clear,False,0.0,False,False,False,0.65,True,76,20.2,42.1,75.7,0.047,0.109,0.903,Festival crowd surge detected - alternate route and extended cycle recommended
DEC700057,2025-02-18 16:55:22,J008,Jayanagar 4th Block,Reroute Advisory,ARGUS-DT-v2.4,queue=66veh|congestion=0.75|rain=N|festival=N|accident=N,Detour via Ring Road,Weekday,False,Clear,False,0.0,False,False,False,0.485,True,48,26.4,33.2,169.4,0.125,0.289,0.954,Moderate traffic flow - standard adaptive signal timing in effect
DEC700058,2026-05-12 10:06:11,J034,Ulsoor,Signal Timing Adjustment,ARGUS-DT-v2.4,queue=60veh|congestion=0.78|rain=N|festival=N|accident=N,76.9,Weekday,False,Clear,False,0.0,False,False,False,0.782,True,75,19.3,50.5,205.0,0.119,0.276,0.959,Heavy congestion detected - signal timing extended and reroute suggested
DEC700059,2025-08-17 13:51:46,J018,Nagawara,Parking Guidance,ARGUS-DT-v2.4.1,queue=39veh|congestion=0.44|rain=Y|festival=N|accident=N,Proceed to Nearest Lot,Weekend,False,Heavy Rain,True,112.4,False,False,False,0.442,True,68,29.7,29.2,218.0,0.186,0.429,0.906,Light rain detected - minor speed reduction advised
DEC700060,2026-01-09 11:47:20,J004,Hebbal,Signal Timing Adjustment,ARGUS-DT-v2.4,queue=35veh|congestion=0.32|rain=Y|festival=N|accident=N,48.9,Weekday,False,Light Rain,True,4.8,False,False,False,0.316,True,68,31.9,23.7,201.5,0.197,0.455,0.902,Light rain detected - minor speed reduction advised
DEC700061,2026-03-03 13:40:30,J016,Sarjapur Road,Green Wave Coordination,ARGUS-DT-v2.4.1,queue=33veh|congestion=0.25|rain=Y|festival=N|accident=N,Offset Synced,Weekday,False,Light Rain,True,5.3,False,False,False,0.137,True,44,30.5,5.9,141.6,0.101,0.234,0.884,Light rain detected - minor speed reduction advised
DEC700062,2025-12-13 11:05:06,J040,City Market,Route Recommendation,ARGUS-DT-v2.3,queue=60veh|congestion=0.28|rain=N|festival=N|accident=N,Primary Route,Weekend,False,Clear,False,0.0,False,False,False,0.281,True,45,30.2,9.9,111.7,0.078,0.18,0.97,Moderate traffic flow - standard adaptive signal timing in effect
DEC700063,2026-01-25 17:29:27,J018,Nagawara,Parking Guidance,ARGUS-DT-v2.4.1,queue=52veh|congestion=0.58|rain=N|festival=N|accident=N,Proceed to Nearest Lot,Weekend,False,Fog,False,0.0,False,False,False,0.576,False,93,25.0,36.8,161.7,0.119,0.276,0.89,Moderate traffic flow - standard adaptive signal timing in effect
