record_id,timestamp,corridor_id,junction_sequence,num_junctions,junction_spacing_m,corridor_length_km,cycle_time_sec,day_type,is_festival,weather_condition,is_rain,rainfall_mm,is_accident,bus_priority_active,ambulance_priority_active,ideal_offset_sec,applied_offset_sec,offset_accuracy,green_wave_success,stops_avoided,congestion_index,avg_speed_kmph,waiting_time_sec,travel_time_sec,fuel_consumption_l,co2_emission_kg,confidence_score,recommendation_reason
GW100000,2025-08-13 18:40:59,ORR_East,Silk Board -> Bellandur -> Marathahalli -> KR Puram,4,723.0,2.17,90,Weekday,False,Heavy Rain,True,54.3,False,True,False,101.2,90.0,0.954,False,1,1.0,8.7,31.7,925.8,0.318,0.734,0.863,Bus priority granted - green extension issued to reduce transit delay
GW100001,2025-04-27 13:31:56,Tumkur_Rd,Yeshwantpur -> Rajajinagar -> Tumkur Road,3,404.0,0.81,90,Weekend,False,Clear,False,0.0,False,False,False,43.2,42.8,0.991,True,3,0.05,31.7,2.0,90.5,0.095,0.218,0.978,Green wave coordination successful - maintain current corridor offset
GW100002,2026-04-21 18:09:30,ORR_East,Silk Board -> Bellandur -> Marathahalli -> KR Puram,4,643.0,1.93,120,Weekday,False,Clear,False,0.0,False,True,False,83.9,84.8,0.989,False,2,1.0,9.3,42.1,794.0,0.262,0.604,0.915,Bus priority granted - green extension issued to reduce transit delay
GW100003,2025-08-16 18:09:45,ORR_North,Hebbal -> Nagawara -> RT Nagar -> Yeshwantpur,4,762.0,2.29,120,Weekend,True,Clear,False,0.0,False,False,False,102.5,90.0,0.973,False,3,0.913,11.7,59.5,750.9,0.35,0.808,0.902,Festival crowd surge detected - alternate route and extended cycle recommended
GW100004,2025-09-17 08:47:05,Tumkur_Rd,Yeshwantpur -> Rajajinagar -> Tumkur Road,3,851.0,1.7,110,Weekday,False,Clear,False,0.0,False,False,False,117.3,90.0,0.925,False,0,0.949,10.4,52.8,617.2,0.284,0.655,0.956,Heavy congestion detected - signal timing extended and reroute suggested
GW100005,2026-03-17 09:25:04,Sarjapur_Rd,Koramangala Sony World -> HSR BDA Complex -> Sarjapur Road -> Varthur,4,447.0,1.34,90,Weekday,False,Clear,False,0.0,False,False,False,72.7,74.3,0.978,False,1,0.929,9.3,47.0,623.4,0.202,0.466,0.918,Heavy congestion detected - signal timing extended and reroute suggested
GW100006,2025-05-30 16:47:57,South_Loop,Banashankari -> Jayanagar 4th Block -> Basavanagudi -> JP Nagar -> Bannerghatta Road,5,654.0,2.62,120,Weekday,False,Clear,False,0.0,False,False,False,65.8,70.7,0.926,False,4,0.668,23.8,43.7,409.0,0.338,0.782,0.966,Moderate traffic flow - standard adaptive signal timing in effect
GW100007,2025-05-30 17:11:30,Central_Loop,Majestic -> Anand Rao Circle -> Chalukya Circle -> MG Road -> Cubbon Road -> Richmond Circle,6,399.0,2.0,100,Weekday,False,Clear,False,0.0,False,False,False,52.8,51.6,0.978,False,2,0.693,17.6,41.8,476.7,0.262,0.605,0.974,Moderate traffic flow - standard adaptive signal timing in effect
GW100008,2026-03-02 19:57:37,Hosur_Rd,Silk Board -> Electronic City Toll,2,502.0,0.5,100,Weekday,False,Clear,False,0.0,False,False,False,55.8,59.1,0.942,False,1,0.763,18.9,38.3,133.0,0.07,0.162,0.958,Heavy congestion detected - signal timing extended and reroute suggested
GW100009,2026-03-21 14:32:45,Hosur_Rd,Silk Board -> Electronic City Toll,2,499.0,0.5,90,Weekend,False,Clear,False,0.0,False,False,False,51.1,47.2,0.924,True,2,0.053,33.4,4.3,60.6,0.051,0.118,0.976,Green wave coordination successful - maintain current corridor offset
GW100010,2026-06-29 18:44:38,Old_Airport_Rd,Trinity Circle -> Ulsoor -> Domlur -> Old Airport Road -> HAL Airport Road,5,600.0,2.4,120,Weekday,False,Clear,False,0.0,False,False,False,78.7,67.5,0.859,False,0,1.0,9.3,62.2,971.2,0.346,0.8,0.883,Heavy congestion detected - signal timing extended and reroute suggested
GW100011,2025-02-28 10:49:02,Sarjapur_Rd,Koramangala Sony World -> HSR BDA Complex -> Sarjapur Road -> Varthur,4,324.0,0.97,110,Weekday,False,Clear,False,0.0,False,False,False,48.0,45.3,0.944,True,4,0.226,24.2,18.2,156.4,0.11,0.253,0.967,Green wave coordination successful - maintain current corridor offset
GW100012,2025-12-20 11:45:08,ORR_North,Hebbal -> Nagawara -> RT Nagar -> Yeshwantpur,4,404.0,1.21,90,Weekend,False,Clear,False,0.0,False,False,False,35.1,38.6,0.9,True,4,0.058,40.2,2.0,109.6,0.106,0.245,0.966,Green wave coordination successful - maintain current corridor offset
GW100013,2025-08-26 12:10:14,ORR_North,Hebbal -> Nagawara -> RT Nagar -> Yeshwantpur,4,524.0,1.57,100,Weekday,False,Clear,False,0.0,False,True,False,86.2,83.3,0.966,True,4,0.092,21.4,2.3,255.4,0.153,0.353,0.981,Bus priority granted - green extension issued to reduce transit delay
GW100014,2026-05-04 17:35:40,ORR_North,Hebbal -> Nagawara -> RT Nagar -> Yeshwantpur,4,341.0,1.02,90,Weekday,False,Clear,False,0.0,False,False,False,57.1,59.1,0.965,False,2,0.867,10.4,44.0,449.8,0.142,0.329,0.945,Heavy congestion detected - signal timing extended and reroute suggested
GW100015,2026-04-03 08:14:19,Mysore_Rd,City Market -> KR Market -> Mysore Road -> Vijayanagar,4,626.0,1.88,110,Weekday,False,Fog,False,0.0,False,False,False,70.4,87.6,0.755,False,1,0.804,17.5,43.7,448.0,0.266,0.615,0.974,Heavy congestion detected - signal timing extended and reroute suggested
GW100016,2025-09-05 21:36:51,South_Loop,Banashankari -> Jayanagar 4th Block -> Basavanagudi -> JP Nagar -> Bannerghatta Road,5,872.0,3.49,110,Weekday,True,Heavy Rain,True,106.6,False,False,False,106.3,90.0,0.977,False,3,0.833,15.3,49.7,896.6,0.489,1.13,0.832,Festival crowd surge detected - alternate route and extended cycle recommended
GW100017,2025-04-19 18:34:57,Mysore_Rd,City Market -> KR Market -> Mysore Road -> Vijayanagar,4,449.0,1.35,110,Weekend,False,Clear,False,0.0,False,True,False,49.3,40.6,0.824,False,1,0.703,20.9,27.4,253.4,0.191,0.441,0.974,Bus priority granted - green extension issued to reduce transit delay
GW100018,2025-10-28 09:28:51,ORR_East,Silk Board -> Bellandur -> Marathahalli -> KR Puram,4,457.0,1.37,110,Weekday,False,Clear,False,0.0,False,True,False,59.2,45.2,0.763,False,2,0.897,12.6,34.0,403.0,0.193,0.446,0.94,Bus priority granted - green extension issued to reduce transit delay
GW100019,2025-06-14 07:31:13,Tumkur_Rd,Yeshwantpur -> Rajajinagar -> Tumkur Road,3,468.0,0.94,110,Weekend,False,Clear,False,0.0,False,False,False,51.5,52.0,0.991,True,3,0.157,31.4,10.9,112.5,0.097,0.225,0.982,Green wave coordination successful - maintain current corridor offset
GW100020,2025-01-10 15:16:13,Tumkur_Rd,Yeshwantpur -> Rajajinagar -> Tumkur Road,3,463.0,0.93,110,Weekday,False,Clear,False,0.0,False,False,False,52.1,52.8,0.986,True,3,0.153,30.2,2.0,116.6,0.078,0.18,0.959,Green wave coordination successful - maintain current corridor offset
GW100021,2025-07-07 16:34:34,South_Loop,Banashankari -> Jayanagar 4th Block -> Basavanagudi -> JP Nagar -> Bannerghatta Road,5,454.0,1.82,90,Weekday,False,Clear,False,0.0,False,False,False,51.3,44.5,0.869,True,5,0.248,29.8,10.0,234.3,0.183,0.423,0.952,Green wave coordination successful - maintain current corridor offset
GW100022,2026-01-15 10:38:31,Old_Airport_Rd,Trinity Circle -> Ulsoor -> Domlur -> Old Airport Road -> HAL Airport Road,5,711.0,2.84,90,Weekday,True,Clear,False,0.0,False,True,False,78.8,70.3,0.893,False,2,0.785,18.4,27.3,623.6,0.386,0.892,0.911,Bus priority granted - green extension issued to reduce transit delay
GW100023,2025-04-26 06:00:28,ORR_North,Hebbal -> Nagawara -> RT Nagar -> Yeshwantpur,4,346.0,1.04,100,Weekend,False,Rain,True,7.8,False,True,False,30.6,28.1,0.917,True,4,0.151,38.3,4.7,101.1,0.114,0.264,0.919,Bus priority granted - green extension issued to reduce transit delay
GW100024,2026-02-06 17:06:21,Central_Loop,Majestic -> Anand Rao Circle -> Chalukya Circle -> MG Road -> Cubbon Road -> Richmond Circle,6,505.0,2.53,110,Weekday,False,Clear,False,0.0,False,False,False,71.4,65.4,0.916,False,3,0.747,15.3,41.9,645.0,0.323,0.746,0.969,Moderate traffic flow - standard adaptive signal timing in effect
GW100025,2026-05-17 18:53:33,Hosur_Rd,Silk Board -> Electronic City Toll,2,887.0,0.89,90,Weekend,False,Clear,False,0.0,False,True,False,109.1,90.0,0.986,False,0,0.696,18.8,22.9,196.8,0.121,0.279,0.972,Bus priority granted - green extension issued to reduce transit delay
GW100026,2025-09-18 06:55:04,Sarjapur_Rd,Koramangala Sony World -> HSR BDA Complex -> Sarjapur Road -> Varthur,4,705.0,2.11,120,Weekday,False,Clear,False,0.0,False,True,False,80.6,82.3,0.979,True,4,0.204,31.3,11.9,248.6,0.196,0.453,0.968,Bus priority granted - green extension issued to reduce transit delay
GW100027,2025-10-31 18:38:18,Tumkur_Rd,Yeshwantpur -> Rajajinagar -> Tumkur Road,3,379.0,0.76,100,Weekday,False,Rain,True,7.5,False,True,False,53.6,58.0,0.918,False,0,1.0,8.6,32.5,357.3,0.115,0.267,0.877,Bus priority granted - green extension issued to reduce transit delay
GW100028,2026-05-22 07:16:11,South_Loop,Banashankari -> Jayanagar 4th Block -> Basavanagudi -> JP Nagar -> Bannerghatta Road,5,387.0,1.55,110,Weekday,False,Clear,False,0.0,False,True,False,40.6,38.6,0.951,True,5,0.211,32.2,9.4,187.4,0.158,0.366,0.966,Bus priority granted - green extension issued to reduce transit delay
GW100029,2026-04-06 07:14:40,Old_Airport_Rd,Trinity Circle -> Ulsoor -> Domlur -> Old Airport Road -> HAL Airport Road,5,460.0,1.84,90,Weekday,False,Clear,False,0.0,False,True,False,55.5,56.1,0.989,True,5,0.192,28.5,7.5,235.6,0.187,0.433,0.976,Bus priority granted - green extension issued to reduce transit delay
GW100030,2025-05-27 16:45:23,ORR_North,Hebbal -> Nagawara -> RT Nagar -> Yeshwantpur,4,488.0,1.46,120,Weekday,False,Clear,False,0.0,False,True,False,58.0,60.5,0.959,True,4,0.28,28.1,8.0,187.7,0.141,0.326,0.971,Bus priority granted - green extension issued to reduce transit delay
GW100031,2025-10-19 07:58:12,ORR_North,Hebbal -> Nagawara -> RT Nagar -> Yeshwantpur,4,432.0,1.3,110,Weekend,False,Clear,False,0.0,False,False,False,53.2,52.8,0.993,True,4,0.26,27.8,14.9,186.3,0.138,0.318,0.981,Green wave coordination successful - maintain current corridor offset
GW100032,2026-04-29 02:42:02,South_Loop,Banashankari -> Jayanagar 4th Block -> Basavanagudi -> JP Nagar -> Bannerghatta Road,5,586.0,2.35,110,Weekday,False,Clear,False,0.0,False,True,False,52.6,51.1,0.971,True,5,0.087,37.0,7.4,231.7,0.211,0.488,0.964,Bus priority granted - green extension issued to reduce transit delay
GW100033,2025-05-16 17:40:11,ORR_North,Hebbal -> Nagawara -> RT Nagar -> Yeshwantpur,4,425.0,1.28,120,Weekday,False,Clear,False,0.0,False,True,False,61.1,73.3,0.8,False,3,0.937,10.3,43.7,492.5,0.197,0.455,0.925,Bus priority granted - green extension issued to reduce transit delay
GW100034,2025-01-18 16:02:58,Central_Loop,Majestic -> Anand Rao Circle -> Chalukya Circle -> MG Road -> Cubbon Road -> Richmond Circle,6,368.0,1.84,100,Weekend,False,Clear,False,0.0,False,False,False,35.6,36.1,0.984,True,6,0.112,34.3,2.0,187.0,0.158,0.364,0.989,Green wave coordination successful - maintain current corridor offset
GW100035,2025-05-25 18:14:37,Sarjapur_Rd,Koramangala Sony World -> HSR BDA Complex -> Sarjapur Road -> Varthur,4,537.0,1.61,110,Weekend,False,Rain,True,12.0,False,False,False,66.8,79.5,0.81,False,2,0.927,12.2,57.1,562.8,0.265,0.612,0.878,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
GW100036,2026-02-26 15:21:02,ORR_North,Hebbal -> Nagawara -> RT Nagar -> Yeshwantpur,4,540.0,1.62,120,Weekday,False,Clear,False,0.0,False,False,False,55.5,58.2,0.952,True,4,0.128,32.7,8.5,188.3,0.151,0.348,0.95,Green wave coordination successful - maintain current corridor offset
