record_id,timestamp,junction_id,junction_name,neighbor_junction_id,neighbor_junction_name,approach_direction,num_lanes,day_type,is_festival,weather_condition,is_rain,rainfall_mm,is_accident,priority_class,incoming_vehicle_count,queue_length_vehicles,requested_green_time_sec,granted_green_time_sec,negotiation_rounds,negotiation_outcome,congestion_index,avg_speed_kmph,waiting_time_sec,travel_time_sec,fuel_consumption_l,co2_emission_kg,confidence_score,recommendation_reason
JN100000,2025-06-19 14:39:38,J013,HSR BDA Complex,J025,Bannerghatta Road,North,2,Weekday,False,Heavy Rain,True,40.9,False,Bus,38,33,42.8,42.5,4,Priority Granted (Bus),0.453,32.8,16.7,111.4,0.109,0.252,0.917,Bus priority granted - green extension issued to reduce transit delay
JN100001,2026-05-30 13:04:43,J004,Hebbal,J024,JP Nagar,North,2,Weekend,False,Clear,False,0.0,False,Normal,24,18,22.9,59.5,1,Accepted,0.027,30.7,2.0,55.0,0.058,0.134,0.958,Normal free-flow traffic - standard signal timing maintained
JN100002,2026-01-15 21:18:36,J008,Jayanagar 4th Block,J027,Mysore Road,East,4,Weekday,True,Clear,False,0.0,False,Normal,30,24,26.4,38.6,1,Accepted,0.532,22.9,32.8,83.9,0.063,0.145,0.926,Festival crowd surge detected - alternate route and extended cycle recommended
JN100003,2025-07-15 13:58:48,J038,Varthur,J036,HAL Airport Road,West,3,Weekday,False,Clear,False,0.0,False,Bus,19,10,37.9,33.8,4,Priority Granted (Bus),0.057,35.5,3.5,36.1,0.028,0.065,0.932,Bus priority granted - green extension issued to reduce transit delay
JN100004,2025-03-15 09:14:28,J001,Silk Board,J007,Banashankari,West,3,Weekend,True,Clear,False,0.0,False,Normal,49,45,34.2,31.9,2,Accepted,0.879,12.3,59.0,235.2,0.113,0.262,0.896,Festival crowd surge detected - alternate route and extended cycle recommended
JN100005,2026-03-04 13:05:23,J037,Kadugodi,J024,JP Nagar,West,2,Weekday,True,Clear,False,0.0,False,Normal,35,33,30.9,50.3,2,Accepted,0.383,29.6,31.1,76.9,0.053,0.122,0.919,Moderate traffic flow - standard adaptive signal timing in effect
JN100006,2025-08-06 17:23:16,J032,Richmond Circle,J029,Old Airport Road,West,4,Weekday,False,Clear,False,0.0,False,Bus,53,42,50.0,46.7,2,Priority Granted (Bus),0.749,15.3,30.4,216.0,0.104,0.241,0.957,Bus priority granted - green extension issued to reduce transit delay
JN100007,2025-11-19 18:38:19,J008,Jayanagar 4th Block,J015,Bellandur,East,3,Weekday,False,Fog,False,0.0,False,Bus,61,55,59.8,57.7,2,Priority Granted (Bus),0.895,10.8,33.8,186.9,0.096,0.221,0.945,Bus priority granted - green extension issued to reduce transit delay
JN100008,2025-12-04 18:52:31,J014,Electronic City Toll,J015,Bellandur,East,2,Weekday,False,Clear,False,0.0,False,Normal,70,65,47.7,43.5,2,Counter-Offer Accepted,0.914,11.9,60.1,250.6,0.128,0.297,0.929,Heavy congestion detected - signal timing extended and reroute suggested
JN100009,2025-06-10 08:23:21,J002,Marathahalli,J019,RT Nagar,East,2,Weekday,False,Heavy Rain,True,53.6,False,Normal,73,63,44.9,41.2,3,Counter-Offer Accepted,0.933,11.1,60.3,279.4,0.117,0.27,0.876,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
JN100010,2025-07-19 17:49:11,J013,HSR BDA Complex,J030,MG Road,South,3,Weekend,False,Rain,True,22.2,False,Bus,55,48,55.0,52.5,2,Priority Granted (Bus),0.894,11.2,33.3,289.5,0.108,0.248,0.906,Bus priority granted - green extension issued to reduce transit delay
