trip_id,timestamp,origin_junction_id,origin_junction_name,destination_junction_id,destination_junction_name,vehicle_type,day_type,is_festival,weather_condition,is_rain,rainfall_mm,is_accident_on_route,bus_priority_active,ambulance_priority_active,distance_km,alternate_route_available,recommended_route,recommended_speed_kmph,congestion_index,predicted_waiting_time_sec,predicted_travel_time_sec,estimated_time_saved_sec,fuel_consumption_l,co2_emission_kg,confidence_score,recommendation_reason
TRIP200000,2026-03-19 06:08:33,J020,Malleshwaram Circle,J027,Mysore Road,Two-Wheeler,Weekday,True,Clear,False,0.0,False,True,False,6.02,True,Primary Route,34.6,0.368,20.1,616.3,0.0,0.266,0.614,0.93,Bus priority granted - green extension issued to reduce transit delay
TRIP200001,2026-04-09 17:31:45,J030,MG Road,J010,Shivajinagar,Two-Wheeler,Weekday,False,Clear,False,0.0,False,False,False,2.59,True,Alternate Route,23.2,0.628,42.0,456.0,0.0,0.14,0.323,0.99,Moderate traffic flow - standard adaptive signal timing in effect
TRIP200002,2025-06-16 21:04:08,J007,Banashankari,J037,Kadugodi,Auto-Rickshaw,Weekday,False,Rain,True,20.5,False,False,False,1.89,False,Primary Route,19.9,0.614,41.7,384.2,0.0,0.173,0.4,0.926,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
TRIP200003,2026-01-19 18:22:15,J032,Richmond Circle,J019,RT Nagar,Auto-Rickshaw,Weekday,False,Clear,False,0.0,False,False,False,6.35,True,Alternate Route,16.1,0.714,45.6,1434.4,139.0,0.544,1.257,0.966,Moderate traffic flow - standard adaptive signal timing in effect
TRIP200004,2026-02-09 09:51:20,J042,Anand Rao Circle,J003,KR Puram,Car,Weekday,False,Clear,False,0.0,False,True,False,6.12,False,Primary Route,25.2,0.629,37.6,946.7,0.0,0.737,1.702,0.961,Bus priority granted - green extension issued to reduce transit delay
TRIP200005,2025-01-10 09:29:17,J038,Varthur,J034,Ulsoor,Car,Weekday,False,Clear,False,0.0,False,True,False,9.08,False,Primary Route,21.5,0.742,47.4,1501.7,0.0,1.138,2.629,0.979,Bus priority granted - green extension issued to reduce transit delay
TRIP200006,2025-06-19 15:41:25,J015,Bellandur,J027,Mysore Road,Two-Wheeler,Weekday,False,Clear,False,0.0,False,False,False,5.05,False,Primary Route,34.7,0.312,14.1,580.8,0.0,0.216,0.499,0.97,Moderate traffic flow - standard adaptive signal timing in effect
TRIP200007,2026-06-29 17:52:02,J019,RT Nagar,J040,City Market,Car,Weekday,False,Light Rain,True,6.4,False,False,False,8.74,False,Primary Route,9.6,1.0,70.5,3438.2,0.0,1.223,2.825,0.889,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
TRIP200008,2025-04-20 18:28:01,J001,Silk Board,J035,Domlur,Two-Wheeler,Weekend,False,Clear,False,0.0,True,True,False,6.44,False,Primary Route,19.1,0.8,48.1,1279.0,0.0,0.355,0.82,0.788,Accident detected nearby - reroute and reduced speed advised
TRIP200009,2026-03-01 13:38:19,J017,Whitefield ITPL,J010,Shivajinagar,Car,Weekend,False,Clear,False,0.0,False,True,False,5.2,True,Primary Route,45.8,0.128,10.1,415.4,0.0,0.484,1.118,0.945,Bus priority granted - green extension issued to reduce transit delay
TRIP200010,2025-08-15 08:24:32,J017,Whitefield ITPL,J012,Koramangala Sony World,Two-Wheeler,Weekday,True,Clear,False,0.0,False,False,False,4.0,False,Primary Route,10.2,1.0,61.2,1384.1,0.0,0.238,0.55,0.85,Festival crowd surge detected - alternate route and extended cycle recommended
TRIP200011,2025-10-06 18:58:09,J009,Majestic,J004,Hebbal,Auto-Rickshaw,Weekday,False,Clear,False,0.0,False,True,False,6.2,True,Alternate Route,22.1,0.571,39.1,1033.5,131.7,0.483,1.116,0.977,Bus priority granted - green extension issued to reduce transit delay
TRIP200012,2026-01-01 22:48:27,J032,Richmond Circle,J011,Indiranagar 100ft Road,Two-Wheeler,Weekday,True,Clear,False,0.0,False,False,False,2.78,True,Primary Route,27.9,0.39,22.5,358.7,0.0,0.133,0.307,0.927,Moderate traffic flow - standard adaptive signal timing in effect
TRIP200013,2025-02-12 14:41:20,J015,Bellandur,J032,Richmond Circle,Two-Wheeler,Weekday,False,Clear,False,0.0,False,True,False,1.96,False,Primary Route,36.9,0.124,7.4,199.4,0.0,0.08,0.185,0.984,Bus priority granted - green extension issued to reduce transit delay
TRIP200014,2025-04-30 09:59:18,J014,Electronic City Toll,J026,Hosur Road,Car,Weekday,False,Light Rain,True,2.4,False,False,False,9.72,True,Alternate Route,29.0,0.5,34.2,1267.2,288.5,1.08,2.495,0.911,Light rain detected - minor speed reduction advised
TRIP200015,2025-06-28 10:30:18,J022,Rajajinagar,J019,RT Nagar,Delivery Van,Weekend,False,Rain,True,18.7,False,False,False,4.1,True,Alternate Route,29.8,0.416,29.4,512.3,105.2,0.714,1.649,0.927,Light rain detected - minor speed reduction advised
TRIP200016,2025-06-04 04:11:08,J016,Sarjapur Road,J036,HAL Airport Road,Car,Weekday,False,Clear,False,0.0,False,False,False,6.48,True,Primary Route,37.2,0.178,14.7,660.5,0.0,0.6,1.386,0.974,Normal free-flow traffic - standard signal timing maintained
TRIP200017,2026-03-16 21:35:23,J029,Old Airport Road,J024,JP Nagar,Delivery Van,Weekday,False,Clear,False,0.0,False,True,False,1.82,True,Primary Route,29.2,0.268,20.0,258.4,0.0,0.322,0.744,0.982,Bus priority granted - green extension issued to reduce transit delay
TRIP200018,2026-06-04 13:46:52,J029,Old Airport Road,J036,HAL Airport Road,Two-Wheeler,Weekday,False,Clear,False,0.0,False,False,False,7.33,True,Primary Route,39.7,0.135,18.6,696.9,0.0,0.291,0.672,0.973,Normal free-flow traffic - standard signal timing maintained
TRIP200019,2026-01-04 14:34:41,J037,Kadugodi,J020,Malleshwaram Circle,Two-Wheeler,Weekend,False,Clear,False,0.0,False,True,False,8.73,True,Primary Route,49.4,0.024,2.0,637.0,0.0,0.324,0.748,0.945,Bus priority granted - green extension issued to reduce transit delay
TRIP200020,2025-04-06 08:41:32,J005,Yeshwantpur,J018,Nagawara,Two-Wheeler,Weekend,True,Clear,False,0.0,False,False,False,4.16,True,Alternate Route,19.3,0.671,46.7,842.7,114.3,0.218,0.504,0.923,Festival crowd surge detected - alternate route and extended cycle recommended
TRIP200021,2026-03-14 14:40:00,J011,Indiranagar 100ft Road,J014,Electronic City Toll,Car,Weekend,False,Clear,False,0.0,False,True,False,1.55,False,Primary Route,35.8,0.133,3.2,156.0,0.0,0.135,0.312,0.966,Bus priority granted - green extension issued to reduce transit delay
TRIP200022,2025-06-18 10:05:39,J035,Domlur,J004,Hebbal,Auto-Rickshaw,Weekday,False,Clear,False,0.0,False,False,False,5.96,True,Alternate Route,18.7,0.498,32.3,1249.1,67.4,0.457,1.056,0.96,Moderate traffic flow - standard adaptive signal timing in effect
TRIP200023,2026-06-16 19:13:32,J021,Vijayanagar,J023,Basavanagudi,Car,Weekday,False,Clear,False,0.0,False,False,False,5.11,True,Alternate Route,21.5,0.683,43.0,883.1,63.8,0.644,1.488,0.963,Moderate traffic flow - standard adaptive signal timing in effect
TRIP200024,2026-03-12 19:58:52,J014,Electronic City Toll,J003,KR Puram,Car,Weekday,False,Clear,False,0.0,False,True,False,6.05,True,Alternate Route,28.1,0.448,27.1,837.8,57.2,0.677,1.564,0.989,Bus priority granted - green extension issued to reduce transit delay
TRIP200025,2025-11-10 17:46:11,J012,Koramangala Sony World,J021,Vijayanagar,Two-Wheeler,Weekday,False,Clear,False,0.0,False,True,False,4.99,True,Alternate Route,35.4,0.442,31.0,552.2,206.7,0.235,0.543,0.944,Bus priority granted - green extension issued to reduce transit delay
TRIP200026,2025-12-21 22:40:23,J012,Koramangala Sony World,J010,Shivajinagar,Delivery Van,Weekend,False,Clear,False,0.0,True,False,False,1.07,True,Primary Route,23.3,0.506,36.9,207.6,0.0,0.211,0.487,0.793,Accident detected nearby - reroute and reduced speed advised
TRIP200027,2025-05-07 16:18:04,J016,Sarjapur Road,J001,Silk Board,Two-Wheeler,Weekday,False,Clear,False,0.0,False,False,False,4.8,True,Primary Route,31.1,0.494,31.3,581.6,0.0,0.231,0.534,0.98,Moderate traffic flow - standard adaptive signal timing in effect
TRIP200028,2025-07-05 16:02:23,J030,MG Road,J001,Silk Board,Car,Weekend,False,Heavy Rain,True,27.3,False,False,False,4.02,True,Alternate Route,30.9,0.359,24.2,503.5,54.4,0.428,0.989,0.928,Light rain detected - minor speed reduction advised
TRIP200029,2025-06-11 15:34:03,J019,RT Nagar,J036,HAL Airport Road,Two-Wheeler,Weekday,False,Clear,False,0.0,False,False,False,4.25,True,Primary Route,31.9,0.377,27.1,503.0,0.0,0.202,0.467,0.942,Moderate traffic flow - standard adaptive signal timing in effect
TRIP200030,2026-05-08 13:34:57,J036,HAL Airport Road,J030,MG Road,Car,Weekday,False,Rain,True,13.2,False,True,False,7.98,True,Primary Route,29.4,0.243,17.7,1026.1,0.0,0.791,1.827,0.9,Bus priority granted - green extension issued to reduce transit delay
TRIP200031,2026-04-07 14:14:33,J008,Jayanagar 4th Block,J017,Whitefield ITPL,Car,Weekday,False,Clear,False,0.0,False,False,False,2.77,False,Primary Route,43.3,0.127,15.7,248.6,0.0,0.249,0.575,0.966,Normal free-flow traffic - standard signal timing maintained
TRIP200032,2025-12-02 19:33:54,J002,Marathahalli,J038,Varthur,Two-Wheeler,Weekday,False,Clear,False,0.0,False,False,False,4.6,True,Alternate Route,28.1,0.518,31.7,631.5,245.7,0.223,0.515,0.963,Moderate traffic flow - standard adaptive signal timing in effect
TRIP200033,2025-10-06 20:30:38,J024,JP Nagar,J009,Majestic,Car,Weekday,False,Clear,False,0.0,False,False,False,11.88,True,Primary Route,28.9,0.433,28.2,1464.9,0.0,1.292,2.985,0.961,Moderate traffic flow - standard adaptive signal timing in effect
TRIP200034,2025-01-26 12:57:39,J001,Silk Board,J009,Majestic,Two-Wheeler,Weekend,True,Clear,False,0.0,True,False,False,2.19,False,Primary Route,25.1,0.68,45.3,393.0,0.0,0.113,0.261,0.731,Accident detected nearby - reroute and reduced speed advised
