decision_id,timestamp,road_id,junction_id,traffic_ai_recommendation,emergency_ai_recommendation,environment_ai_recommendation,infrastructure_ai_recommendation,public_transport_recommendation,master_ai_decision,reason
DEC00001,2026-07-29T06:12:00,R0002,J0006,Activate adaptive signal control,No emergency vehicles active,Issue low-visibility advisory,Schedule maintenance — high stress,Maintain schedule,Activate adaptive signal control,Weighted priority: Traffic flow optimization prioritized
DEC00002,2026-07-31T22:06:00,R0037,J0024,Extend green phase on approach,Pre-empt next 3 signals,Issue low-visibility advisory,Infrastructure nominal,Maintain schedule,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00003,2026-07-31T05:16:00,R0005,J0008,Activate adaptive signal control,Hold — awaiting dispatch confirmation,Issue low-visibility advisory,Infrastructure nominal,Prioritize bus at junction,Activate adaptive signal control,Weighted priority: Traffic flow optimization prioritized
DEC00004,2026-07-30T05:44:00,R0026,J0028,Reroute via alternate arterial,Pre-empt next 3 signals,Restrict heavy vehicles — AQI high,Schedule maintenance — high stress,Increase bus frequency on route,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00005,2026-07-31T23:41:00,R0038,J0014,Extend green phase on approach,Hold — awaiting dispatch confirmation,Issue low-visibility advisory,Flag for inspection,Prioritize bus at junction,Extend green phase on approach,Weighted priority: Traffic flow optimization prioritized
DEC00006,2026-07-29T16:15:00,R0017,J0022,Reroute via alternate arterial,Pre-empt next 3 signals,Conditions normal,Flag for inspection,Maintain schedule,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00007,2026-07-29T05:20:00,R0011,J0024,Activate adaptive signal control,Clear emergency corridor now,Issue low-visibility advisory,Schedule maintenance — high stress,Maintain schedule,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00008,2026-07-30T09:59:00,R0041,J0005,Activate adaptive signal control,No emergency vehicles active,Restrict heavy vehicles — AQI high,Infrastructure nominal,Increase bus frequency on route,Activate adaptive signal control,Weighted priority: Traffic flow optimization prioritized
DEC00009,2026-07-31T02:23:00,R0014,J0017,Extend green phase on approach,Clear emergency corridor now,Issue low-visibility advisory,Infrastructure nominal,Prioritize bus at junction,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00010,2026-07-30T16:15:00,R0021,J0018,Extend green phase on approach,No emergency vehicles active,Issue low-visibility advisory,Schedule maintenance — high stress,Maintain schedule,Extend green phase on approach,Weighted priority: Traffic flow optimization prioritized
