record_id,timestamp,parking_lot_id,junction_id,junction_name,lot_type,capacity,occupied_slots,occupancy_pct,day_type,is_festival,is_rain,rainfall_mm,is_accident_nearby,near_full,turnover_rate_per_hr,avg_search_time_sec,search_distance_km,fuel_consumption_l,co2_emission_kg,confidence_score,recommendation_reason
PK600000,2025-01-25 18:36:35,J035-P3,J035,Domlur,Office Complex,332,109,32.8,Weekend,False,False,0.0,False,False,0.55,27.8,0.1,0.019,0.044,0.99,Ample parking available - standard guidance sufficient
PK600001,2026-01-01 00:34:02,J007-P1,J007,Banashankari,Mall Basement,461,256,55.5,Weekday,True,False,0.0,False,False,0.4,50.0,0.21,0.027,0.063,0.911,Festival demand surge expected - pre-booking recommended
PK600002,2025-12-06 09:28:22,J027-P1,J027,Mysore Road,Office Complex,306,90,29.4,Weekend,False,False,0.0,False,False,0.5,50.1,0.17,0.044,0.103,0.95,Ample parking available - standard guidance sufficient
PK600003,2025-06-17 11:34:37,J018-P2,J018,Nagawara,Office Complex,294,273,92.9,Weekday,False,True,19.9,False,True,0.29,223.3,0.93,0.252,0.583,0.865,Lot filling up - real-time slot guidance recommended
PK600004,2025-01-09 17:35:34,J033-P3,J033,Trinity Circle,Mall Basement,439,314,71.5,Weekday,False,False,0.0,False,False,0.26,66.1,0.32,0.076,0.177,0.985,Ample parking available - standard guidance sufficient
PK600005,2025-08-11 18:55:57,J037-P2,J037,Kadugodi,Market Area,148,22,14.9,Weekday,False,False,0.0,False,False,0.75,28.6,0.11,0.026,0.061,0.968,Ample parking available - standard guidance sufficient
PK600006,2026-03-06 18:56:06,J041-P2,J041,Chalukya Circle,Mall Basement,383,291,76.0,Weekday,False,False,0.0,False,False,0.33,83.3,0.4,0.085,0.197,0.965,Lot filling up - real-time slot guidance recommended
PK600007,2025-11-28 14:43:31,J042-P2,J042,Anand Rao Circle,Mall Basement,448,95,21.2,Weekday,False,False,0.0,False,False,0.57,23.5,0.13,0.031,0.073,0.941,Ample parking available - standard guidance sufficient
PK600008,2026-05-01 13:47:59,J039-P3,J039,KR Market,On-Street Metered,101,68,67.3,Weekday,True,False,0.0,False,False,0.47,34.6,0.16,0.035,0.081,0.918,Festival demand surge expected - pre-booking recommended
PK600009,2025-04-21 17:47:27,J029-P3,J029,Old Airport Road,Mall Basement,440,278,63.2,Weekday,False,False,0.0,False,False,0.46,31.8,0.16,0.039,0.091,0.945,Ample parking available - standard guidance sufficient
PK600010,2025-02-22 15:02:58,J029-P2,J029,Old Airport Road,Mall Basement,503,24,4.8,Weekend,False,False,0.0,False,False,0.66,39.0,0.15,0.021,0.049,0.985,Ample parking available - standard guidance sufficient
PK600011,2026-05-07 08:26:37,J025-P2,J025,Bannerghatta Road,Office Complex,353,11,3.1,Weekday,False,False,0.0,False,False,0.68,21.7,0.1,0.019,0.043,0.952,Ample parking available - standard guidance sufficient
PK600012,2025-05-25 16:13:09,J011-P3,J011,Indiranagar 100ft Road,On-Street Metered,58,38,65.5,Weekend,False,False,0.0,False,False,0.47,57.7,0.21,0.048,0.112,0.959,Ample parking available - standard guidance sufficient
PK600013,2025-06-17 18:13:31,J034-P3,J034,Ulsoor,Market Area,130,38,29.2,Weekday,False,False,0.0,False,False,0.59,45.3,0.14,0.047,0.109,0.985,Ample parking available - standard guidance sufficient
PK600014,2026-03-06 17:23:04,J002-P3,J002,Marathahalli,On-Street Metered,38,29,76.3,Weekday,False,False,0.0,False,False,0.46,89.7,0.4,0.105,0.243,0.967,Lot filling up - real-time slot guidance recommended
