event_id,timestamp,event_type,venue_junction_id,venue_junction_name,expected_attendance,day_type,is_festival,weather_condition,is_rain,rainfall_mm,is_accident_nearby,road_closure_active,congestion_index,congestion_level,avg_speed_kmph,waiting_time_sec,travel_time_sec,fuel_consumption_l,co2_emission_kg,confidence_score,recommendation_reason
EVT400000,2025-06-21 21:15:57,Sports Fixture,J020,Malleshwaram Circle,22476,Weekend,False,Clear,False,0.0,False,False,0.491,Moderate,21.5,36.7,150.8,0.091,0.209,0.952,Moderate traffic flow - standard adaptive signal timing in effect
EVT400001,2025-12-12 07:12:15,Trade Fair,J020,Malleshwaram Circle,9481,Weekday,False,Clear,False,0.0,False,False,0.551,High,25.9,42.1,90.8,0.081,0.188,0.964,Moderate traffic flow - standard adaptive signal timing in effect
EVT400002,2026-02-24 09:07:53,Sports Fixture,J012,Koramangala Sony World,28795,Weekday,False,Clear,False,0.0,False,False,1.0,Severe,9.9,74.7,546.8,0.222,0.514,0.919,Heavy congestion detected - signal timing extended and reroute suggested
EVT400003,2025-11-19 09:39:47,Trade Fair,J031,Cubbon Road,4438,Weekday,False,Light Rain,True,4.7,False,False,0.989,Severe,9.2,65.4,538.0,0.186,0.43,0.89,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
EVT400004,2026-02-04 00:05:59,Sports Fixture,J023,Basavanagudi,24827,Weekday,False,Clear,False,0.0,False,False,0.33,Low,28.4,24.3,207.8,0.137,0.317,0.949,Moderate traffic flow - standard adaptive signal timing in effect
EVT400005,2025-09-21 14:50:08,Sports Fixture,J030,MG Road,28513,Weekend,False,Clear,False,0.0,False,False,0.396,Moderate,33.7,30.6,164.3,0.137,0.316,0.94,Moderate traffic flow - standard adaptive signal timing in effect
EVT400006,2025-01-26 07:55:39,Religious Festival,J031,Cubbon Road,29113,Weekend,True,Clear,False,0.0,False,False,0.964,Severe,7.2,67.8,659.8,0.185,0.426,0.903,Festival crowd surge detected - alternate route and extended cycle recommended
EVT400007,2025-01-20 19:52:00,Trade Fair,J009,Majestic,16333,Weekday,False,Rain,True,7.6,False,False,0.88,Severe,13.5,61.5,183.6,0.104,0.24,0.883,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
EVT400008,2026-02-14 05:35:41,Sports Fixture,J030,MG Road,25425,Weekend,False,Clear,False,0.0,False,False,0.407,Moderate,27.8,31.4,250.8,0.201,0.464,0.958,Moderate traffic flow - standard adaptive signal timing in effect
EVT400009,2025-06-25 15:59:14,Trade Fair,J009,Majestic,10164,Weekday,False,Clear,False,0.0,False,False,0.514,Moderate,30.1,30.5,121.9,0.091,0.21,0.96,Moderate traffic flow - standard adaptive signal timing in effect
EVT400010,2026-06-28 12:43:49,Local Market Day,J030,MG Road,4680,Weekend,False,Clear,False,0.0,False,False,0.267,Low,32.0,21.7,125.0,0.085,0.195,0.945,Moderate traffic flow - standard adaptive signal timing in effect
EVT400011,2025-10-03 17:45:23,Religious Festival,J011,Indiranagar 100ft Road,68698,Weekday,True,Clear,False,0.0,False,False,1.0,Severe,9.2,67.8,741.3,0.28,0.646,0.847,Festival crowd surge detected - alternate route and extended cycle recommended
EVT400012,2025-08-29 20:51:29,Concert,J012,Koramangala Sony World,10255,Weekday,False,Clear,False,0.0,False,False,0.503,Moderate,22.9,31.1,341.0,0.224,0.518,0.947,Moderate traffic flow - standard adaptive signal timing in effect
EVT400013,2026-03-03 07:51:53,Political Rally,J031,Cubbon Road,12110,Weekday,False,Clear,False,0.0,False,False,0.776,Severe,14.9,55.5,400.7,0.19,0.439,0.966,Heavy congestion detected - signal timing extended and reroute suggested
EVT400014,2026-03-09 11:27:05,Trade Fair,J011,Indiranagar 100ft Road,15421,Weekday,False,Clear,False,0.0,False,False,0.343,Low,21.7,24.3,209.9,0.126,0.292,0.951,Moderate traffic flow - standard adaptive signal timing in effect
EVT400015,2025-03-10 08:15:19,Concert,J031,Cubbon Road,20668,Weekday,False,Clear,False,0.0,False,False,0.983,Severe,10.0,75.7,375.2,0.181,0.418,0.926,Heavy congestion detected - signal timing extended and reroute suggested
EVT400016,2026-05-25 16:52:46,Local Market Day,J011,Indiranagar 100ft Road,7423,Weekday,False,Light Rain,True,4.1,False,False,0.886,Severe,14.5,58.0,327.2,0.155,0.357,0.905,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
EVT400017,2025-07-01 11:58:26,Trade Fair,J012,Koramangala Sony World,7327,Weekday,False,Clear,False,0.0,False,False,0.279,Low,36.3,17.8,134.1,0.121,0.279,0.986,Moderate traffic flow - standard adaptive signal timing in effect
EVT400018,2026-02-21 08:10:46,Concert,J023,Basavanagudi,15355,Weekend,False,Fog,False,0.0,False,False,0.832,Severe,15.0,55.1,356.8,0.188,0.434,0.925,Heavy congestion detected - signal timing extended and reroute suggested
