record_id,timestamp,source_junction_id,source_junction_name,affected_junction_id,affected_junction_name,network_hop_distance,distance_m,trigger_type,day_type,is_festival,weather_condition,is_rain,rainfall_mm,is_accident_at_source,propagation_delay_sec,congestion_increase_pct,speed_reduction_pct,affected_congestion_index,avg_speed_kmph,waiting_time_sec,travel_time_sec,fuel_consumption_l,co2_emission_kg,recovered_within_5min,confidence_score,recommendation_reason
RE100000,2025-04-12 21:25:57,J041,Chalukya Circle,J002,Marathahalli,3,1947,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,181.5,1.0,1.0,0.286,29.0,22.3,130.9,0.086,0.198,True,0.982,Green wave coordination successful - maintain current corridor offset
RE100001,2025-07-08 17:06:57,J004,Hebbal,J010,Shivajinagar,3,2304,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,196.1,17.3,12.0,0.852,13.9,57.0,310.4,0.163,0.376,True,0.945,Heavy congestion detected - signal timing extended and reroute suggested
RE100002,2025-08-21 21:41:18,J041,Chalukya Circle,J001,Silk Board,2,1195,Recurrent Congestion,Weekday,False,Heavy Rain,True,68.5,False,104.1,34.8,27.1,0.747,13.6,52.9,135.3,0.071,0.164,False,0.913,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE100003,2025-08-30 16:07:39,J036,HAL Airport Road,J040,City Market,2,533,Recurrent Congestion,Weekend,False,Heavy Rain,True,92.7,False,57.1,68.4,41.8,1.0,7.4,67.6,617.8,0.187,0.433,False,0.844,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE100004,2025-05-19 19:24:26,J029,Old Airport Road,J030,MG Road,1,552,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,43.7,67.3,52.3,1.0,8.4,65.0,366.0,0.15,0.346,False,0.92,Heavy congestion detected - signal timing extended and reroute suggested
RE100005,2026-03-21 14:48:19,J022,Rajajinagar,J024,JP Nagar,1,467,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,43.6,31.2,23.0,0.409,31.1,25.3,80.9,0.08,0.185,False,0.963,Moderate traffic flow - standard adaptive signal timing in effect
RE100006,2025-05-10 19:36:37,J002,Marathahalli,J003,KR Puram,1,457,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,43.5,57.2,39.8,0.957,10.9,66.6,416.0,0.188,0.434,False,0.925,Heavy congestion detected - signal timing extended and reroute suggested
RE100007,2026-01-10 13:32:27,J040,City Market,J001,Silk Board,3,1005,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,98.1,10.4,6.2,0.175,33.5,16.6,103.4,0.096,0.222,True,0.972,Green wave coordination successful - maintain current corridor offset
RE100008,2025-03-07 12:09:35,J004,Hebbal,J005,Yeshwantpur,1,687,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,57.4,32.4,21.8,0.424,28.3,24.8,110.3,0.095,0.219,False,0.971,Moderate traffic flow - standard adaptive signal timing in effect
RE100009,2025-06-13 19:44:43,J032,Richmond Circle,J034,Ulsoor,2,1591,Recurrent Congestion,Weekday,False,Rain,True,18.1,False,160.2,32.5,19.5,1.0,9.5,68.8,518.3,0.22,0.509,False,0.85,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE100010,2025-06-24 18:43:33,J017,Whitefield ITPL,J021,Vijayanagar,2,1497,Recurrent Congestion,Weekday,False,Rain,True,19.8,False,137.1,27.5,18.1,1.0,8.2,72.0,232.2,0.109,0.252,False,0.868,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
