record_id,timestamp,junction_id,junction_name,day_type,is_festival,weather_condition,is_rain,rainfall_mm,temperature_c,visibility_m,is_accident,congestion_index,avg_speed_kmph,waiting_time_sec,travel_time_sec,fuel_consumption_l,co2_emission_kg,confidence_score,recommendation_reason
WX500000,2026-04-07 10:29:20,J033,Trinity Circle,Weekday,False,Clear,False,0.0,29.1,1609.0,False,0.594,22.9,34.4,128.7,0.078,0.18,0.982,Moderate traffic flow - standard adaptive signal timing in effect
WX500001,2025-08-22 16:31:44,J020,Malleshwaram Circle,Weekday,False,Clear,False,0.0,27.5,2726.0,False,0.578,24.2,36.1,172.7,0.124,0.286,0.972,Moderate traffic flow - standard adaptive signal timing in effect
WX500002,2025-09-04 14:44:51,J036,HAL Airport Road,Weekday,False,Clear,False,0.0,28.2,1250.0,False,0.255,19.7,19.4,137.0,0.067,0.155,0.958,Moderate traffic flow - standard adaptive signal timing in effect
WX500003,2025-07-13 21:21:58,J026,Hosur Road,Weekend,False,Fog,False,0.0,22.9,50.0,False,0.274,9.8,17.1,506.3,0.129,0.298,0.912,Moderate traffic flow - standard adaptive signal timing in effect
WX500004,2025-06-23 17:32:28,J007,Banashankari,Weekday,False,Clear,False,0.0,25.0,2321.0,False,0.832,17.2,60.9,204.5,0.127,0.293,0.942,Heavy congestion detected - signal timing extended and reroute suggested
WX500005,2026-01-01 07:14:27,J006,Tin Factory,Weekday,True,Clear,False,0.0,17.3,1744.0,False,0.716,18.1,43.9,133.0,0.091,0.21,0.93,Festival crowd surge detected - alternate route and extended cycle recommended
WX500006,2025-05-24 20:34:06,J041,Chalukya Circle,Weekend,False,Clear,False,0.0,28.8,2100.0,False,0.416,31.0,23.2,192.0,0.171,0.395,0.959,Moderate traffic flow - standard adaptive signal timing in effect
WX500007,2025-06-30 15:02:13,J035,Domlur,Weekday,False,Heavy Rain,True,48.2,24.9,177.0,False,0.703,10.0,48.0,386.6,0.145,0.335,0.897,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500008,2025-06-07 08:28:52,J022,Rajajinagar,Weekend,False,Clear,False,0.0,24.0,2688.0,False,0.607,22.4,39.5,89.7,0.056,0.129,0.974,Moderate traffic flow - standard adaptive signal timing in effect
WX500009,2025-05-18 11:31:20,J032,Richmond Circle,Weekend,False,Clear,False,0.0,27.3,1948.0,False,0.181,36.6,16.7,37.8,0.038,0.088,0.955,Normal free-flow traffic - standard signal timing maintained
WX500010,2026-01-05 19:59:28,J019,RT Nagar,Weekday,False,Clear,False,0.0,22.9,1952.0,False,0.675,22.1,44.7,214.4,0.156,0.36,0.974,Moderate traffic flow - standard adaptive signal timing in effect
WX500011,2025-05-23 19:07:58,J015,Bellandur,Weekday,False,Heavy Rain,True,27.0,26.6,214.0,False,1.0,9.5,66.9,182.8,0.095,0.219,0.878,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500012,2025-11-04 19:00:54,J019,RT Nagar,Weekday,False,Clear,False,0.0,23.1,2953.0,False,0.972,9.1,62.7,543.8,0.18,0.416,0.932,Heavy congestion detected - signal timing extended and reroute suggested
WX500013,2025-04-26 13:37:25,J014,Electronic City Toll,Weekend,False,Clear,False,0.0,32.1,1340.0,False,0.043,24.5,4.8,128.6,0.091,0.21,0.946,Normal free-flow traffic - standard signal timing maintained
WX500014,2025-04-09 12:58:14,J004,Hebbal,Weekday,False,Clear,False,0.0,29.9,1723.0,False,0.135,40.3,4.9,53.9,0.061,0.141,0.981,Normal free-flow traffic - standard signal timing maintained
WX500015,2025-08-02 08:22:11,J014,Electronic City Toll,Weekend,False,Rain,True,8.9,19.8,383.0,False,0.949,11.3,65.4,340.0,0.156,0.36,0.897,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500016,2025-06-02 18:00:17,J036,HAL Airport Road,Weekday,False,Clear,False,0.0,26.8,2070.0,False,0.986,9.3,58.4,359.7,0.134,0.31,0.941,Heavy congestion detected - signal timing extended and reroute suggested
WX500017,2025-03-24 16:16:14,J036,HAL Airport Road,Weekday,False,Clear,False,0.0,30.6,1818.0,False,0.486,30.5,28.2,98.4,0.088,0.203,0.963,Moderate traffic flow - standard adaptive signal timing in effect
WX500018,2025-01-26 09:50:09,J023,Basavanagudi,Weekend,True,Clear,False,0.0,20.4,2055.0,False,0.849,15.4,53.5,215.9,0.145,0.335,0.875,Festival crowd surge detected - alternate route and extended cycle recommended
WX500019,2026-04-29 08:25:16,J038,Varthur,Weekday,False,Clear,False,0.0,26.5,1785.0,False,0.93,13.4,54.8,235.1,0.122,0.282,0.908,Heavy congestion detected - signal timing extended and reroute suggested
